Casiotone for the Painfully Alone	Bobby Malone Moves Home	US
Selena Gomez	Body Heat	US
Queen	Bohemian Rhapsody - Remastered 2011	JP
Mark Knopfler	Boom, Like That	UK
Marianne Faithfull	Born to Live	UK
Johnny Cash	Born to Lose	US
Madonna	Borrowed Time	US
Scott Walker	Boy Child	UK
Chelsea Wolfe	Boyfriend	US
Pixie Lott	Boys and Girls	UK
Jennifer Lopez	Brave	US
AFI	Break Angels	US
Lykke Li	Breaking It Up	SE
FKA twigs	Breathe	UK
Queen	Brighton Rock	JP
Bo Diddley	Bring It To Jerome	US
Frank Zappa	Broken Hearts Are For Assholes	US
Beyoncé	Broken-Hearted Girl	US
Com Truise	Brokendate	US
Red	Buried Beneath	PL
Andra Day	Burn	US
Ellie Goulding	Burn	UK
Marilyn Manson	Burning Flag	US
Eminem	Business	US
Corinne Bailey Rae	Butterfly	UK
Sia	Buttons	AU
James Blake	CMYK	UK
Robyn	Call Your Girlfriend	SE
Nile	Call to Destruction	US
Aimee Mann	Calling It Quits	US
Kim Wilde	Cambodia	UK
Phill Veras	Cambota	BR
Ezra Furman	Can I Sleep In Your Brain	US
Devin Townsend	Canada	CA
Lou Reed	Caroline Says II	US
Júníus Meyvant	Carry on with Me	IS
Bryan Ferry	Casanova	UK
Gregory Alan Isakov	Caves	US
King Krule	Cementality	UK
Anna Calvi	Chain	UK
Igorrr	Cheval	FR
Wale	Chillin	US
Sophie Ellis-Bextor	China Heart	UK
Caparezza	China Town	IT
Starcadian	Chinatown	US
RuPaul	Christmas Cookies 2.0	US
Luan Santana	Chuva de Arroz - Ao Vivo	BR
Julia Holter	City Appearing	US
Ryan Gosling	City Of Stars	CA
Nick Drake	Clothes Of Sand	UK
Tiago Iorc	Coisa Linda	BR
Paula Abdul	Cold Hearted	US
Damien Rice	Cold Water	IE
Tom Waits	Cold Water	US
Zola Jesus	Collapse	US
Laleh	Colors	SE
Toy	Colours Running Out	PT
Darius Rucker	Come Back Song	US
Trent Dabbs	Come Home Safe	US
Melissa Etheridge	Come To My Window	US
Belchior	Comentário A Respeito De John	BR
Panda Bear	Comfy in Nautica	US
Sufjan Stevens	Concerning the UFO Sighting Near Highland, Illinois	US
Joni Mitchell	Conversation	CA
MC Leozinho	Copo De Vinho	BR
Enrique Iglesias	Could I Have This Kiss Forever	ES
Burak Yeter	Crash	NL
Britney Spears	Criminal	US
Devendra Banhart	Cripple Crow	US
Jennifer Paige	Crush	US
Janis Joplin	Cry Baby	US
Pixie Lott	Cry Me Out	UK
Jack Johnson	Crying Shame	US
Luis Miguel	Cuando Calienta El Sol	MX
Luis Miguel	Cuando vuelva a tu lado	MX
Neko Case	Curse of the I-5 Corridor	US
Elton John	Curtains	UK
Luis Miguel	Dame	MX
Margareth Menezes	Dandalunda	BR
Elton John	Daniel	UK
Marcelo Jeneci	Dar-te-ei	BR
Fiona Apple	Daredevil	US
Andrew Belle	Dark Matter	US
King Dude	Dead Before The Chorus	US
Meat Loaf	Dead Ringer for Love	US
PJ Harvey	Dear Darkness	UK
Cyndi Lauper	Dear John	US
Sia	Death by Chocolate	AU
Rogério Skylab	Dedo no Cu e Gritaria	BR
Neko Case	Deep Red Bells	US
Rob Zombie	Demon Speeding	US
Jimmie Vaughan	Dengue Woman Blues	US
Arca	Desafío	VE
Manu Chao	Desaparecido	FR
Os Arrais	Deserto	BR
Ghost	Deus in Absentia	UK
Skip James	Devil Got My Woman	US
Ellie Goulding	Devotion	UK
The Weeknd	Die for You	CA
Ozzy Osbourne	Diggin' Me Down	UK
Michael Jackson	Dirty Diana	US
Beyoncé	Disappear	US
Perturbator	Disco Inferno	FR
Gabriel Diks	Discurso Revoltado	UK
Marissa Nadler	Divers Of The Dust	US
Sébastien Tellier	Divine	FR
Elliott Smith	Division Day	US
Nelly Furtado	Do It	CA
Santana	Do You Remember Me	US
David Bowie	Dollar Days	UK
Milton Nascimento	Dona Olimpia	BR
Namasenda	Donuts	SE
Bibio	Down To The Sound	UK
Abigail Lapell	Down by the Water	CA
Jeff Buckley	Dream Brother	US
Dynoro	Dreaming	LT
Leighton Meester	Dreaming	US
SZA	Drew Barrymore	US
Donna Missal	Driving	US
Tyler, the Creator	Droppin' Seeds	US
Melanie C	Drown	UK
BANKS	Drowning	US
Armin van Buuren	Drowning - Avicii Remix	NL
Enrique Iglesias	Dímelo	ES
Nelly	E.I.	US
Virtual Self	EON BREAK	US
Ewa Farna	EWAkuacja	CZ
Andy Shauf	Early To The Party	CA
Cyndi Lauper	Echo	US
Lou Reed	Ecstasy	US
Curtis Mayfield	Eddie You Should Know Better	US
Alanis Morissette	Eight Easy Steps	CA
Joe Goddard	Electric Lines	UK
Tame Impala	Elephant	AU
St. Lucia	Elevate	DE
Margaret Glaspy	Emotions and Math	US
Laura Pausini	En Ausencia De Ti	IT
Taylor Swift	Enchanted	US
Don Patricio	Enchochado de Ti	ES
Milton Nascimento	Encontros E Despedidas	BR
Angel Olsen	Enemy	US
PJ Harvey	England	UK
Rush	Entre Nous	US
Thalía	Entre el Mar y una Estrella	MX
Afu-Ra	Equality	US
Carpenter Brut	Escape From Midwich Valley	FR
Gilbert Bécaud	Et maintenant	FR
Loreen	Euphoria	SE
Barry McGuire	Eve Of Destruction	US
Lotus Plaza	Eveningness	US
Bobby Brown	Every Little Step	US
Gary Numan	Everything Comes Down to This	UK
Kanye West	Everything I Am	US
Skylar Grey	Everything I Need	US
Kurt Travis	Everything Is Horrible	US
Blackmill	Evil Beauty	UK
Sufjan Stevens	Exploding Whale - Doveman Remix	US
Chase Rice	Eyes On You	US
Ashlee Simpson	Eyes Wide Open	US
Bonobo	Eyesdown	UK
Spongebob Squarepants	F.U.N. Song	[at sea]
Miley Cyrus	FU	US
Luiz Melodia	Fadas - Ao vivo	BR
Toni Braxton	Fairy Tale	US
Lianne La Havas	Fairytale - Solo	UK
Heavenly Beat	Faithless	US
Enya	Fallen Embers	IE
Fever Ray	Falling	SE
Eddie Vedder	Far Behind	US
Kanye West	Father Stretch My Hands Pt. 1	US
Phill Veras	Faz	BR
Roberta Flack	Feel Like Makin' Love	US
Nina Simone	Feeling Good	US
Childish Gambino	Feels Like Summer	US
Christina Aguilera	Fighter	US
Danna Paola	Final Feliz	MX
Vance Joy	Fire and The Flood	AU
Feist	Fire in the Water	CA
Eliot Sumner	Firewood	IT
Macy Gray	First Time	US
Ian Brown	First World Problems	UK
Queen	Flash	JP
Mr. Oizo	Flat Beat	FR
Iron & Wine	Flightless Bird, American Mouth	US
Gal Costa	Flor Do Cerrado	BR
Mack 10	Foe Life	US
Rico Dalasam	Fogo em Mim	BR
Christine and the Queens	Follarse	FR
Rush	Force Ten	US
Gary Barlow	Forever Love	UK
Nina Simone	Four Women	US
Neko Case	Fox Confessor Brings the Flood	US
PARTYNEXTDOOR	Freak In You	CA
Timmy Trumpet	Freaks - Radio Edit	AU
Childish Gambino	Freaks And Geeks	US
Britney Spears	Freakshow	US
Sia	Free the Animal	AU
DJ Bobo	Freedom	CH
Nelly Furtado	Fresh Off the Boat	CA
Nero	Fugue State	DE
Ten Tonnes	G.I.V.E.	UK
Who Is Fancy	GOODBYE	US
Joe Goddard	Gabriel	UK
Doja Cat	Game	US
St. Lucia	Game 4 U	DE
Nicki Minaj	Ganja Burn	US
José José	Gavilán O Paloma	MX
Grimes	Genesis	CA
Kindness	Geneva	UK
Demi Lovato	Get Back	US
Tom Waits	Get Lost	US
Neon Hitch	Get Over U	UK
Gossip	Get a Job	NL
Lee Dorsey	Get out of My Life Woman	US
RuPaul	Getaway	US
Albert Hammond, Jr.	GfC	US
Billie Piper	Girlfriend	UK
Frank Sinatra	Glad to Be Unhappy	US
John Grant	Global Warming	US
Mineral	Gloria	FI
Twin Shadow	Golden Light	US
Mr. Little Jeans	Good Mistake	US
Selena Gomez	Good for You	US
Elliott Smith	Good to Go	US
Serena Ryder	Got Your Number	CA
Jeff Buckley	Grace	US
Dido	Grafton Street	UK
Queen	Great King Rat	JP
Whitney Houston	Greatest Love of All	US
Lorde	Green Light	NZ
Danny Brown	Gremlins	US
Bruno Mars	Grenade	US
Damien Rice	Grey Room	IE
Danny Brown	Grown Up	US
Emperor	Gypsy	UK
Ilse DeLange	Half the Love	NL
AFI	Halloween	US
Alanis Morissette	Hands Clean	CA
David Bowie	Hang on to Yourself	UK
Madonna	Hanky Panky	US
Clare Maguire	Happiest Pretenders	UK
Molly Nilsson	Happyness	Europe
SOHN	Hard Liquor	UK
Anna von Hausswolff	Harmonica	SE
Kate Nash	Hate You	UK
Eden xo	Have It All	US
Elton John	Have Mercy On The Criminal	UK
Brandy	Have You Ever	BE
Olivia Newton-John	Have You Never Been Mellow	AU
Tessa Violet	Haze	US
Nick Drake	Hazey Jane II	UK
Ghost	He Is	UK
Alok	Hear Me Now	BR
Madonna	Heartbeat	US
Anastacia	Heavy on My Heart	US
Alice Cooper	Hello Hooray	US
Barbara Lewis	Hello Stranger	US
Caribou	Hendrix With Ko	CA
Chronixx	Here Comes Trouble	JM
Barrington Levy	Here I Come	JM
Mat Kearney	Here We Go	US
Sarah Brightman	Here With Me	UK
Kishi Bashi	Hey Big Star	US
Paul McCartney	Hey Jude	UK
Shakira	Hey You	CO
Glen Hansard	High Hope	IE
G-Eazy & Halsey	Him & I	US
Lizz Wright	Hit The Ground	US
Sia	Ho Ho Ho	AU
Holly Herndon	Home	US
Pitbull	Hotel Room Service	US
Shakira	How Do You Do	CO
Charlie Puth	How Long	US
Karen Dalton	How Sweet It Is	US
Milow	Howling At The Moon	BE
Gabrielle Aplin	Human	UK
Madonna	Human Nature	US
Regina Spektor	Human of the Year	US
Kesha	Hungover	US
Yung Lean	Hunting My Own Skin	SE
Bob Dylan	Hurricane	US
Oscar Peterson Trio	Hymn to Freedom	CA
Devin Townsend	Hyperdrive	CA
James Blake	I Am Sold	UK
Flo Rida	I Cry	US
Bob Dylan	I Dreamed I Saw St. Augustine	US
IMRI	I Feel Alive	IL
Feist	I Feel It All	CA
Janet Jackson	I Get Lonely	US
Jennifer Hudson	I Got This	US
Jack White	I Guess I Should Go to Sleep	US
Janelle Monáe	I Like That	US
Britney Spears	I Love Rock 'N' Roll	US
Alice Cooper	I Love The Dead	US
Nina Simone	I Love Your Lovin' Ways	US
Tina Charles	I Love to Love	UK
Haddaway	I Miss You	DE
SoYou	I Miss You	KR
Brendan Perry	I Must Have Been Blind	IE
Grace Jones	I Need A Man	US
Jennifer Lopez	I Need Love	US
Samantha Fox	I Only Wanna Be with You	UK
Britney Spears	I Wanna Go	US
Nile Rodgers	I Want Your Love	US
Marilyn Manson	I Want to Disappear	US
Beth Ditto	I Wrote the Book	US
Childish Gambino	II. Worldstar	US
Azealia Banks	Idle Delilah	US
Lyle Lovett	If I Had a Boat	US
Fever Ray	If I Had a Heart	SE
Tracy Chapman	If Not Now...	US
Sting	If You Love Somebody Set Them Free	UK
Pat Benatar	If You Think You Know How To Love Me	US
Paul McCartney	If You Wanna	UK
Thom Yorke	Iluvya	UK
Shontelle	Impossible	BB
Rome	In Cruel Fire	IL
Emperor	In Longing Spirit	UK
Gavin DeGraw	In Love with a Girl	US
Jason Derülo	In My Head	US
Maty Noyes	In My Mind	US
Karen Dalton	In My Own Dream	US
S. Carey	In The Stream	US
Shaggy	In The Summertime	JM
Rush	In the End	US
U.S. Girls	Incidental Boogie	CA
Darren Hayes	Insatiable	AU
Angel Olsen	Intern	US
Van Morrison	Into The Mystic	UK
Foxes in Fiction	Into the Fields	US
Grouper	Invisible	US
John Frusciante	Invisible Movement	US
Queen	Is This The World We Created	JP
Celldweller	It Makes No Difference Who We Are	US
Laurie Anderson	It Tango	US
Strand of Oaks	JM	US
Curumin	Japanpopshow	BR
Augustus Pablo	Java	JM
Tom Odell	Jealousy	UK
Ghost	Jigolo Har Megiddo	UK
Sean Paul	Jump On It	JM
Harry Nilsson	Jump into the Fire - Remastered	US
Delta Goodrem	Just Call	AU
Quincy Jones	Just Once	US
Rory Gallagher	Just The Smile	IE
Bob Marley & The Wailers	Kaya	JM
Ben Howard	Keep Your Head Up	UK
Jacob Banks	Keeps Me Going	UK
Tom Waits	Kentucky Avenue	US
Bonobo	Kerala	UK
Shakey Graves	Kids These Days	US
Gin Wigmore	Kill Of The Night	NZ
Britney Spears	Kill the Lights	US
Young Thug	Killed Before	US
Ozzy Osbourne	Killer of Giants	UK
Luke Sital-Singh	Killing Me	UK
G Flip	Killing My Time	AU
Augustus Pablo	King Tubby Meets Rockers Uptown	JM
Stormzy	Know Me From	UK
George Maple	Kryptonite	UK
Javiera Mena	La Carretera	CL
Fabrizio De André	La Guerra Di Piero	IT
Michel Polnareff	La Poupée Qui Fait Non	FR
Celia Cruz	La Vida Es Un Carnaval	CU
Manu Chao	La marea	FR
Jorge Drexler	La vida es mas compleja de lo que parece	UY
Zeca Pagodinho	Lama Nas Ruas	BR
Elliott Smith	Last Call	US
Regina Spektor	Laughing With	US
Michel Delpech	Le Chasseur	FR
Alain Souchon	Le baiser	FR
Céline Dion	Le ballet	CA
Chantal Kreviazuk	Leaving On A Jet Plane	CA
Aqualung	Left Behind	UK
Suzanne Vega	Left Of Center	US
Rihanna	Lemme Get That	UK
Red	Let Go	PL
José González	Let It Carry You	SE
Cloudkicker	Let Yourself Be Huge	US
Ray Charles	Let the Good Times Roll	US
Labrinth	Let the Sun Shine	UK
Devin Townsend	Life	CA
Brie Larson	Life After You	US
Queen	Lily of the Valley	JP
Lucy Rose	Lines	UK
Porter Robinson	Lionhearted	US
Laura Marling	Little Bird	UK
POOL COSBY	Little Do They Know	US
Madonna	Little Star	US
Carrie Underwood	Little Toy Guns	US
The Kinks	Living On A Thin Line	US
Natalia Lafourcade	Lo Que Construimos	MX
Charli XCX	London Queen	UK
Damien Rice	Lonelily	IE
Feist	Lonely Lonely	CA
Toni Braxton	Long As I Live	US
Dido	Look No Further	UK
IAMX	Look Outside	DE
Earl Sweatshirt	Loosie	US
Eminem	Lose Yourself - Soundtrack Version	US
Jack Johnson	Losing Keys	US
Thalía	Love	MX
Amy Lee	Love Exists	US
Alicia Keys	Love Is My Disease	US
Gavin Rossdale	Love Remains The Same	UK
Robbie Williams	Love Somebody	UK
Mariah Carey	Love Takes Time	US
Leonard Cohen	Lover Lover Lover	CA
Chris Squire	Lucky Seven	UK
Julian Casablancas	Ludlow St.	US
LL Cool J	Luv U Better	US
FKJ	Lying Together	FR
U.S. Girls	M.A.H.	CA
Dean Blunt	MOLLY & AQUAFINA	UK
TS Graye	MY2	UK
Demi Lovato	Made in the USA	US
Kylie Minogue	Made of Glass	AU
John Legend	Made to Love	US
David Bowie	Maid of Bond Street	UK
Ghost	Majesty	UK
Dizzee Rascal	Make It Last	UK
Tirzah	Make It Up	UK
Janelle Monáe	Make Me Feel - EDX Dubai Skyline Remix	US
Meg Myers	Make a Shadow	US
Sophie Ellis-Bextor	Making Music	UK
Ney Matogrosso	Mal Necessário	BR
Negra Li	Malandro Chora	BR
Sylwia Grzeszczak	Male Rzeczy	PL
Merle Haggard	Mama Tried	US
Rihanna	Man Down	UK
Connie Converse	Man in the Sky	US
Nelly Furtado	Maneater	CA
Ella Fitzgerald	Manhattan	US
Maluma	Marinero	CO
Lana Del Rey	Mariners Apartment Complex	US
Andy Shauf	Martha Sways	CA
Christina Aguilera	Masochist	US
Jorge Drexler	Me Haces Bien	UY
AFI	Medicate	US
Melanie C	Melt	UK
Peter Gabriel	Mercy Street	UK
Cannonball Adderley	Mercy, Mercy, Mercy	US
Pg	Meu Universo	CZ
Sia	Midnight Decisions	AU
Jon Bon Jovi	Midnight In Chelsea	US
Justin Timberlake	Midnight Summer Jam	US
Robbie Williams	Millennium	UK
Bebe Rexha	Mine	US
Rino Gaetano	Mio fratello è figlio unico	IT
Cher	Mirror Image	US
Tom Waits	Misery Is The River Of The World	US
Fox Stevenson	Miss You	UK
Brandy	Missing You	BE
Dorothy Moore	Misty Blue	US
Veronica Maggio	Mitt hjärta blöder	SE
Matthew Dear	Modafinil Blues	US
Jeff Buckley	Mojo Pin	US
Melanie Fiona	Monday Morning	CA
Max Frost	Money Problems	US
Robbie Williams	Monsoon	UK
Bobby 'Boris' Pickett	Monster Mash	US
Van Morrison	Moondance	UK
Alicia Keys	More Than We Know	US
Carly Rae Jepsen	More Than a Memory	CA
Tim Buckley	Morning Glory	US
Kate Nash	Mouthwash	UK
Kelly Clarkson	Move You	US
Alela Diane	Moves Us Blind	US
Janelle Monáe	Mr. President	US
Bob Dylan	Mr. Tambourine Man	US
Melanie Martinez	Mrs. Potato Head	US
Michael Jackson	Much Too Soon	US
Frank Zappa	Muffin Man	US
Maria Rita	Muito Pouco	BR
Jon Bellion	Munny Right	US
Youth Lagoon	Mute	US
Queen	My Melancholy Blues	JP
Joni Mitchell	My Old Man	CA
Ella Fitzgerald	My Romance	US
Iron & Wine	Naked As We Came	US
Bob Marley & The Wailers	Natty Dread	JM
Moby	Natural Blues	US
Arnaldo Antunes	Naturalmente, Naturalmente	BR
Nina Simone	Ne Me Quitte Pas	US
Sia	Never Gonna Leave Me	AU
Devendra Banhart	Never Seen Such Good Things	US
Tarja	Neverlight	FI
Marilyn Manson	New Model No. 15	US
Beck	New Round	DK
Paolo Nutini	New Shoes	UK
Ryan Adams	New York, New York	US
Mree	Night Owls	US
Kavinsky	Nightcall	FR
Frank Ocean	Nights	US
Buddy Guy	Nine Below Zero	US
Kiesza	No Enemiesz	CA
Juliana Hatfield	No Meaning	US
Little Simz	No More Wonderland	UK
Alicia Keys	No One - Acoustic	US
Peter Gabriel	No Self Control	UK
Javiera Mena	No Te Cuesta Nada	CL
Sabrina Carpenter	No Words	US
Thalía	Noches Sin Luna	MX
Laura Pausini	Non è Detto	IT
Buddy Holly	Not Fade Away	US
Jessie J	Not My Ex	UK
Rubel	Nuvem	BR
Milton Nascimento	O Homem Da Sucursal	BR
Paulinho Da Viola	O Meu Pecado	BR
Elis Regina	O Que Tinha De Ser	BR
Odair José	O filho de José e Maria	BR
Giacomo Puccini	O mio babbino caro	IT
Pional	Of My Mind	ES
Madonna	Oh Father	US
Sia	Oh Father	AU
PJ Harvey	Oh My Lover	UK
Cat Stevens	Oh Very Young	UK
Toby Fox	Oh! One True Love	US
Al Green	Oh, Pretty Woman	US
Mitski	Old Friend	US
Rayland Baxter	Olivia	US
Tessa Violet	On My Own	US
Ulrich Schnauss	On My Own	DE
Bobby Brown	On Our Own	US
Clarence Clarity	One Hand Washes The Other	UK
PJ Harvey	One Line	UK
Mariah Carey	One Mo' Gen	US
Michael Jackson	One More Chance	US
Johnny Cash	One More Ride	US
George Michael	One More Try	UK
Jimi Hendrix	One Rainy Wish	US
Amos Milburn	One Scotch, One Bourbon, One Beer	US
Jordin Sparks	One Step at a Time	US
Mark Lanegan	One Way Street	US
Cher	One by One	US
Joan Osborne	One of Us	US
Sophie Ellis-Bextor	Only One	UK
Rita Ora	Only Want You	UK
Brandon Flowers	Only the Young	US
John Legend	Open Your Eyes	US
Madonna	Open Your Heart	US
John Legend	Ordinary People	US
Beck	Orphans	DK
Jon Secada	Otro Día Más Sin Verte	US
Stephanie	Ouragan	MC
Falco	Out of the Dark	AT
Ashley Tisdale	Over It	US
Marilyn Manson	Overneath the Path of Misery	US
Eliza Doolittle	Pack Up	UK
Astronomyy	Pack of Wolves	UK
Andrew McMahon in the Wilderness	Paper Rain	US
Uffie	Papercuts	US
Jennifer Lopez	Papi	US
Chris Stapleton	Parachute	US
Otto Knows	Parachute - Radio Edit	SE
Elvis Presley	Paralyzed	US
Alice Cooper	Paranormal	US
Lara Fabian	Part Of Me	BE
Andrew W.K.	Party Hard	US
Tori Amos	Past the Mission	US
Dan Swanö	Patchworks	SE
Belchior	Pequeno Mapa Do Tempo	BR
Pixie Lott	Perfect	UK
Johnny Cash	Personal Jesus	US
Gilberto Gil	Pessoa Nefasta	BR
YOUNG M.A	PettyWap	FI
SBTRKT	Pharaohs	UK
Rory Gallagher	Philby	IE
Olivia Newton-John	Physical	AU
Kelly Clarkson	Piece by Piece	US
Nicki Minaj	Pills N Potions	US
Lisa Hannigan	Pistachio	IE
Johnny Hooker	Poeira de Estrelas	BR
Chico Buarque	Pois é	BR
Junior Murvin	Police & Thieves	JM
Marisa Monte	Pra Ser Sincero	BR
Hayley Westenra	Prayer	NZ
Gal Costa	Presente Cotidiano	BR
Marilyn Manson	President Dead	US
Seinabo Sey	Pretend	SE
Tori Amos	Pretty Good Year	US
Laura Pausini	Prima che esci	IT
Leon Else	Protocol	UK
Ian McCulloch	Proud to Fall	UK
Chayanne	Provócame	US
Alanis Morissette	Purgatorying	CA
Madonna	Push	US
Tracey Thorn	Queen	UK
Wild Nothing	Quiet Hours	US
PINK GUY	RICE BALLS	JP
Tony Bennett	Rags to Riches	US
Mika	Rain	BA
deadmau5	Raise Your Weapon	CA
MF DOOM	Rap Ambush	US
ZHU	Reaching	US
Lissy Trullie	Ready For The Floor	US
John Maus	Real Bad Job	US
Pélico	Recado	BR
Arin Ray	Reckless	US
Elvis Presley	Reconsider Baby	US
Fever Ray	Red Trails	SE
Nicki Minaj	Regret in Your Tears	US
Inna	Rendez Vous	RO
Aretha Franklin	Respect	US
Paolo Nutini	Rewind	UK
Jay Sean	Ride It	UK
Jason Derülo	Ridin' Solo	US
Ariana Grande	Right There	US
bAnoffee	Ripe	AU
Ian Brown	Ripples	UK
Ludovico Einaudi	Ritornare	IT
Agnes Obel	Riverside	DK
Robbie Williams	Rock DJ	UK
David Essex	Rock On	UK
The Rapture	Roller Coaster	UK
Nick Hakim	Roller Skates	US
Nicki Minaj	Run & Hide	US
Kelly Clarkson	Run Run Rudolph	US
Paula Abdul	Rush Rush	US
Ozzy Osbourne	S.A.T.O.	UK
IAMX	S.H.E.	DE
Afterlife	Sacrifice	UK
Bat for Lashes	Sad Eyes	UK
Jessie J	Said Too Much	UK
Björk	Saint	IS
Vanessa Carlton	San Francisco	US
Bob Marley	Satisfy My Soul	JM
Christina Aguilera	Save Me from Myself	US
Gil Scott-Heron	Save the Children	US
Beck	Say Goodbye	DK
Marié Digby	Say It Again	US
Beck	Scarecrow	DK
Venom	Schizo	UK
Chelsea Wolfe	Scrape	US
Bill Callahan	Seagull	US
Jackson do Pandeiro	Sebastiana	BR
Carrie Underwood	See You Again	US
J.J. Cale	Sensitive Kind	US
Annalisa	Sento solo il presente	IT
Richard Swift	Sept20	US
Bob Dylan	Series of Dreams	US
Warrel Dane	Shadow Work	US
Cat Power	Shaking Paper	US
Chad Valley	Shell Suite	UK
Douwe Bob	Shine	NL
Ryan Adams	Shiver And Shake	US
Peter Frampton	Show Me The Way - Live	UK
Skepta	Shutdown	UK
Eros Ramazzotti	Si Bastasen Un Par De Canciones	IT
Bryan Ferry	Sign of the Times	UK
Júníus Meyvant	Signals	IS
IAMX	Simple Girl	DE
Janelle Monáe	Sincerely, Jane.	US
Chelsea Wolfe	Sirenum Scopuli	US
Marissa Nadler	Skyscraper	US
Tycho	Slack	US
John Mayer	Slow Dancing in a Burning Room	IN
Patti Smith	Smells Like Teen Spirit	US
Carrie Underwood	Smoke Break	US
Tori Amos	Smokey Joe	US
Dan Deacon	Snookered	US
Janelle Monáe	So Afraid	US
Sheryl Crow	Solidify	US
Suzanne Vega	Solitude Standing	US
Chet Faker	Solo Sunrise	AU
Jody Watley	Some Kind Of Lover	US
Kylie Minogue	Some Kind of Bliss	AU
Angel Olsen	Some Things Cosmic	US
Emitt Rhodes	Somebody Made For Me	US
Nina Nesbitt	Somebody Special	UK
Paulinho Moska	Somente Nela - Ao Vivo	BR
Elton John	Someone Saved My Life Tonight	UK
Shakira	Something	CO
Bonnie Raitt	Something To Talk About	US
Ellie Goulding	Something in the Way You Move	UK
John Frusciante	Song To The Siren	US
IAMX	Song of Imaginary Beings	DE
Ciara	Sophomore	US
Akon	Sorry, Blame It On Me	SN
Ingrid Michaelson	Sort Of	US
Bryan Adams	Sound The Bugle	CA
Annihilator	Sounds Good to Me	UK
Eminem	Space Bound	US
Mr. Scruff	Spandex Man	UK
Billie Holiday	Speak Low	US
George Ezra	Spectacular Rival	UK
Bobby Darin	Splish Splash	US
oOoOO	Springs	US
Cab Calloway	St. James Infirmary	US
Russell Crowe	Stars	AU
Natalie Imbruglia	Starting Today	AU
Janet Jackson	State of the World	US
Krzysztof Zalewski	Status mojego ja	PL
Fabri Fibra	Stavo pensando a te	IT
Flume	Stay Close	AU
Jennifer Lopez	Step Into My World	US
Elton John	Stinker	UK
Jamelia	Stop	UK
St. Vincent	Strange Mercy	US
Phum Viphurit	Strangers in a Dream	TH
Lou Reed	Street Hassle	US
Gal Costa	Sublime	BR
